baseline,src_name,type,account_name
XGBoost,tuned_gbdt.py,baseline,baseline_eagle
CatBoost,tuned_gbdt.py,baseline,baseline_panther
LightBGM,tuned_gbdt.py,baseline,baseline_shark
RandomForest,RF.py,baseline,baseline_crocodile
TabNet,tabnet.py,baseline,baseline_owl
ResNet,revisiting.py,baseline,baseline_tiger
TabTransformer,tab_transformer.py,baseline,baseline_wolf
FTTransformer,revisiting.py,SOTA,SOTA_lion
Trompt,trompt.py,SOTA,SOTA_phoenix
ExcelFormer,excelformer.py,SOTA,SOTA_rabbit
TabPFN,TabPFN.py,SOTA,SOTA_dinosaur
