competitor,rank,n_unique
excelformer|0.05_0.15_0.8|columnwise,49.38181818181818,2
excelformer|0.05_0.15_0.8|decoding,68.69090909090909,2
excelformer|0.05_0.15_0.8|encoding,54.81818181818182,2
excelformer|0.05_0.15_0.8|materialize,64.25454545454545,2
excelformer|0.05_0.15_0.8|start,54.872727272727275,2
excelformer|0.8_0.15_0.05|columnwise,37.2,2
excelformer|0.8_0.15_0.05|decoding,39.67272727272727,2
excelformer|0.8_0.15_0.05|encoding,31.0,2
excelformer|0.8_0.15_0.05|materialize,44.018181818181816,2
excelformer|0.8_0.15_0.05|start,38.03636363636364,2
fttransformer|0.05_0.15_0.8|columnwise,67.2909090909091,2
fttransformer|0.05_0.15_0.8|decoding,87.14545454545454,2
fttransformer|0.05_0.15_0.8|encoding,70.21818181818182,2
fttransformer|0.05_0.15_0.8|materialize,59.054545454545455,2
fttransformer|0.05_0.15_0.8|start,56.45454545454545,2
fttransformer|0.8_0.15_0.05|columnwise,36.14545454545455,2
fttransformer|0.8_0.15_0.05|decoding,81.78181818181818,2
fttransformer|0.8_0.15_0.05|encoding,32.836363636363636,2
fttransformer|0.8_0.15_0.05|materialize,34.09090909090909,2
fttransformer|0.8_0.15_0.05|start,33.345454545454544,2
resnet|0.05_0.15_0.8|columnwise,58.45454545454545,2
resnet|0.05_0.15_0.8|decoding,59.945454545454545,2
resnet|0.05_0.15_0.8|encoding,57.69090909090909,2
resnet|0.05_0.15_0.8|materialize,53.945454545454545,2
resnet|0.05_0.15_0.8|start,52.81818181818182,2
resnet|0.8_0.15_0.05|columnwise,25.490909090909092,2
resnet|0.8_0.15_0.05|decoding,32.6,2
resnet|0.8_0.15_0.05|encoding,17.30909090909091,2
resnet|0.8_0.15_0.05|materialize,31.2,2
resnet|0.8_0.15_0.05|start,30.927272727272726,2
scarf|0.05_0.15_0.8|columnwise,62.90909090909091,2
scarf|0.05_0.15_0.8|decoding,75.45454545454545,2
scarf|0.05_0.15_0.8|encoding,64.21818181818182,2
scarf|0.05_0.15_0.8|materialize,54.50909090909091,2
scarf|0.05_0.15_0.8|start,56.163636363636364,2
scarf|0.8_0.15_0.05|columnwise,44.58181818181818,2
scarf|0.8_0.15_0.05|decoding,51.96363636363636,2
scarf|0.8_0.15_0.05|encoding,46.90909090909091,2
scarf|0.8_0.15_0.05|materialize,26.69090909090909,2
scarf|0.8_0.15_0.05|start,30.927272727272726,2
subtab|0.05_0.15_0.8|columnwise,55.163636363636364,2
subtab|0.05_0.15_0.8|decoding,58.96363636363636,2
subtab|0.05_0.15_0.8|encoding,56.89090909090909,2
subtab|0.05_0.15_0.8|materialize,60.45454545454545,2
subtab|0.05_0.15_0.8|start,59.81818181818182,2
subtab|0.8_0.15_0.05|columnwise,34.18181818181818,2
subtab|0.8_0.15_0.05|decoding,45.38181818181818,2
subtab|0.8_0.15_0.05|encoding,38.27272727272727,2
subtab|0.8_0.15_0.05|materialize,40.61818181818182,2
subtab|0.8_0.15_0.05|start,41.763636363636365,2
tabm|0.05_0.15_0.8|columnwise,61.6,2
tabm|0.05_0.15_0.8|decoding,58.654545454545456,2
tabm|0.05_0.15_0.8|encoding,58.8,2
tabm|0.05_0.15_0.8|materialize,59.10909090909091,2
tabm|0.05_0.15_0.8|start,56.4,2
tabm|0.8_0.15_0.05|columnwise,51.945454545454545,2
tabm|0.8_0.15_0.05|decoding,45.70909090909091,2
tabm|0.8_0.15_0.05|encoding,44.43636363636364,2
tabm|0.8_0.15_0.05|materialize,45.30909090909091,2
tabm|0.8_0.15_0.05|start,48.89090909090909,2
tabnet|0.05_0.15_0.8|columnwise,91.74545454545455,2
tabnet|0.05_0.15_0.8|decoding,47.89090909090909,2
tabnet|0.05_0.15_0.8|encoding,91.41818181818182,2
tabnet|0.05_0.15_0.8|materialize,56.50909090909091,2
tabnet|0.05_0.15_0.8|start,54.25454545454546,2
tabnet|0.8_0.15_0.05|columnwise,90.85454545454546,2
tabnet|0.8_0.15_0.05|decoding,27.581818181818182,2
tabnet|0.8_0.15_0.05|encoding,89.21818181818182,2
tabnet|0.8_0.15_0.05|materialize,35.945454545454545,2
tabnet|0.8_0.15_0.05|start,31.8,2
tabtransformer|0.05_0.15_0.8|columnwise,67.61818181818182,2
tabtransformer|0.05_0.15_0.8|decoding,54.96363636363636,2
tabtransformer|0.05_0.15_0.8|encoding,65.81818181818181,2
tabtransformer|0.05_0.15_0.8|materialize,75.10909090909091,2
tabtransformer|0.05_0.15_0.8|start,67.92727272727272,2
tabtransformer|0.8_0.15_0.05|columnwise,50.163636363636364,2
tabtransformer|0.8_0.15_0.05|decoding,36.30909090909091,2
