dataset,n_unique,competitor,best_test_metric,rank
MagicTelescope,2,trompt|0.05_0.15_0.8|start,0.8870829343795776,29
MagicTelescope,2,trompt|0.05_0.15_0.8|materialize,0.8797168731689453,39
MagicTelescope,2,trompt|0.05_0.15_0.8|encoding,0.900422215461731,22
MagicTelescope,2,trompt|0.05_0.15_0.8|columnwise,0.8962441086769104,24
MagicTelescope,2,trompt|0.05_0.15_0.8|decoding,0.8509003470396833,57
MagicTelescope,2,resnet|0.05_0.15_0.8|start,0.8747835159301758,46
MagicTelescope,2,resnet|0.05_0.15_0.8|materialize,0.8843213319778442,34
MagicTelescope,2,resnet|0.05_0.15_0.8|encoding,0.8928694725036621,26
MagicTelescope,2,resnet|0.05_0.15_0.8|columnwise,0.8834503889083862,35
MagicTelescope,2,resnet|0.05_0.15_0.8|decoding,0.9001647233963013,23
MagicTelescope,2,trompt|0.8_0.15_0.05|start,0.9149521589279175,15
MagicTelescope,2,trompt|0.8_0.15_0.05|materialize,0.9170256853103638,12
MagicTelescope,2,trompt|0.8_0.15_0.05|encoding,0.9360800981521606,3
MagicTelescope,2,trompt|0.8_0.15_0.05|columnwise,0.9385378360748291,2
MagicTelescope,2,trompt|0.8_0.15_0.05|decoding,0.8239610331575655,64
MagicTelescope,2,scarf|0.05_0.15_0.8|start,0.7137214810053847,88
MagicTelescope,2,scarf|0.05_0.15_0.8|materialize,0.7666676156260424,80
MagicTelescope,2,scarf|0.05_0.15_0.8|encoding,0.7150020696629331,87
MagicTelescope,2,scarf|0.05_0.15_0.8|columnwise,0.720736398297462,85
MagicTelescope,2,scarf|0.05_0.15_0.8|decoding,0.744973653278189,83
MagicTelescope,2,subtab|0.05_0.15_0.8|start,0.773301068714556,79
MagicTelescope,2,subtab|0.05_0.15_0.8|materialize,0.7733141678470441,78
MagicTelescope,2,subtab|0.05_0.15_0.8|encoding,0.790776219660226,75
MagicTelescope,2,subtab|0.05_0.15_0.8|columnwise,0.800017535372024,74
MagicTelescope,2,subtab|0.05_0.15_0.8|decoding,0.8519790169363051,56
