model,group,group_dataset_count,rank_pos,competitor,ratio,gnn_stage,avg_rank,competitor_dataset_count,source_file
excelformer,large_datasets+binclass+numerical,6,1,tabpfn,0.8/0.15/0.05,none,1.83,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,2,t2g-former,0.8/0.15/0.05,none,2.67,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,3,lightgbm,0.8/0.15/0.05,none,3.33,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,4,catboost,0.8/0.15/0.05,none,3.33,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,5,xgboost,0.8/0.15/0.05,none,4.17,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,6,tabpfn,0.05/0.15/0.8,none,7.17,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,7,catboost,0.05/0.15/0.8,none,8.17,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,8,t2g-former,0.05/0.15/0.8,none,8.33,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,9,lightgbm,0.05/0.15/0.8,none,8.83,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,10,xgboost,0.05/0.15/0.8,none,9.83,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,11,excelformer,0.05/0.15/0.8,columnwise,13.0,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,12,excelformer,0.8/0.15/0.05,none,13.0,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,13,excelformer,0.05/0.15/0.8,none,13.17,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,14,excelformer,0.05/0.15/0.8,decoding,13.17,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
excelformer,large_datasets+binclass+numerical,6,15,excelformer,0.05/0.15/0.8,encoding,13.83,6,/home/shangyuan/ModelComparison/TaBLEau/gnn_enhancement_analysis/excelformer_gnn_enhancement.md
