gnn_stage,size,task,dtype,count,better_than_fewshot_baseline,prop_better
columnwise,large,classification,numerical,100,1,0.010
decoding,large,classification,numerical,100,2,0.020
encoding,large,classification,numerical,100,2,0.020
materialize,large,classification,numerical,100,0,0.000
start,large,classification,numerical,100,0,0.000
columnwise,large,multiclass,numerical,90,1,0.011
decoding,large,multiclass,numerical,90,2,0.022
encoding,large,multiclass,numerical,90,2,0.022
materialize,large,multiclass,numerical,90,0,0.000
start,large,multiclass,numerical,90,0,0.000
columnwise,large,regression,categorical,80,1,0.013
decoding,large,regression,categorical,80,2,0.025
encoding,large,regression,categorical,80,2,0.025
materialize,large,regression,categorical,80,0,0.000
start,large,regression,categorical,80,0,0.000
columnwise,large,regression,numerical,70,0,0.000
decoding,large,regression,numerical,70,0,0.000
encoding,large,regression,numerical,70,1,0.014
materialize,large,regression,numerical,70,0,0.000
start,large,regression,numerical,70,0,0.000
columnwise,small,classification,balanced,60,2,0.033
decoding,small,classification,balanced,60,3,0.050
encoding,small,classification,balanced,60,3,0.050
materialize,small,classification,balanced,60,2,0.033
start,small,classification,balanced,60,1,0.017
columnwise,small,classification,categorical,50,2,0.040
decoding,small,classification,categorical,50,3,0.060
encoding,small,classification,categorical,50,3,0.060
materialize,small,classification,categorical,50,2,0.040
start,small,classification,categorical,50,1,0.020
columnwise,small,classification,numerical,40,2,0.050
decoding,small,classification,numerical,40,3,0.075
encoding,small,classification,numerical,40,3,0.075
materialize,small,classification,numerical,40,2,0.050
start,small,classification,numerical,40,1,0.025
columnwise,small,regression,balanced,30,2,0.067
decoding,small,regression,balanced,30,3,0.100
encoding,small,regression,balanced,30,3,0.100
materialize,small,regression,balanced,30,2,0.067
start,small,regression,balanced,30,1,0.033
columnwise,small,regression,categorical,20,1,0.050
decoding,small,regression,categorical,20,2,0.100
encoding,small,regression,categorical,20,2,0.100
materialize,small,regression,categorical,20,2,0.100
start,small,regression,categorical,20,2,0.100
columnwise,small,regression,numerical,10,1,0.100
decoding,small,regression,numerical,10,1,0.100
encoding,small,regression,numerical,10,0,0.000
materialize,small,regression,numerical,10,1,0.100
start,small,regression,numerical,10,1,0.100
