competitor,approx_normal(11),constant(3),heavy_tailed(9),highly_skewed(12),moderately_skewed(9),multimodal(14)
excelformer|0.05_0.15_0.8|columnwise,44.18181818181818,13.333333333333334,48.888888888888886,36.833333333333336,49.55555555555556,33.42857142857143
excelformer|0.05_0.15_0.8|decoding,51.27272727272727,6.333333333333333,67.0,71.41666666666667,57.55555555555556,56.0
excelformer|0.05_0.15_0.8|encoding,39.81818181818182,26.0,41.333333333333336,40.416666666666664,53.55555555555556,39.642857142857146
excelformer|0.05_0.15_0.8|materialize,54.0,37.666666666666664,59.55555555555556,49.583333333333336,62.666666666666664,50.357142857142854
excelformer|0.05_0.15_0.8|start,51.45454545454545,42.666666666666664,52.55555555555556,44.833333333333336,65.44444444444444,52.92857142857143
excelformer|0.8_0.15_0.05|columnwise,15.727272727272727,17.333333333333332,20.77777777777778,21.666666666666668,22.77777777777778,17.571428571428573
excelformer|0.8_0.15_0.05|decoding,28.727272727272727,35.333333333333336,14.444444444444445,23.583333333333332,21.11111111111111,35.857142857142854
excelformer|0.8_0.15_0.05|encoding,17.181818181818183,28.333333333333332,20.333333333333332,21.0,20.0,23.285714285714285
excelformer|0.8_0.15_0.05|materialize,29.454545454545453,45.666666666666664,25.77777777777778,27.5,33.0,23.928571428571427
excelformer|0.8_0.15_0.05|start,29.181818181818183,48.0,29.11111111111111,32.0,27.11111111111111,27.214285714285715
fttransformer|0.05_0.15_0.8|columnwise,59.81818181818182,58.0,69.77777777777777,76.16666666666667,67.88888888888889,61.285714285714285
fttransformer|0.05_0.15_0.8|decoding,78.45454545454545,42.666666666666664,73.0,79.5,76.22222222222223,83.64285714285714
fttransformer|0.05_0.15_0.8|encoding,58.81818181818182,62.0,70.55555555555556,76.5,67.55555555555556,67.78571428571429
fttransformer|0.05_0.15_0.8|materialize,68.54545454545455,56.0,64.0,58.5,71.66666666666667,57.285714285714285
fttransformer|0.05_0.15_0.8|start,71.0,53.0,66.11111111111111,48.666666666666664,72.22222222222223,54.857142857142854
fttransformer|0.8_0.15_0.05|columnwise,34.90909090909091,32.666666666666664,37.44444444444444,51.416666666666664,38.44444444444444,38.857142857142854
fttransformer|0.8_0.15_0.05|decoding,55.36363636363637,58.666666666666664,30.444444444444443,61.166666666666664,36.111111111111114,69.0
fttransformer|0.8_0.15_0.05|encoding,26.0,34.0,41.333333333333336,54.583333333333336,29.0,47.785714285714285
fttransformer|0.8_0.15_0.05|materialize,42.09090909090909,47.666666666666664,35.888888888888886,42.166666666666664,41.888888888888886,42.857142857142854
