competitor,mean_rank,std_rank,min_rank,min_dists,max_rank,max_dists,rank_range,consistency,sorted_distributions
excelformer|0.05_0.15_0.8|columnwise,37.7036,13.5683,13.3333,constant,49.5556,moderately_skewed,36.2222,variable,constant:13.333;multimodal:33.429;highly_skewed:36.833;approx_normal:44.182;heavy_tailed:48.889;moderately_skewed:49.556
excelformer|0.05_0.15_0.8|decoding,51.5964,23.3832,6.3333,constant,71.4167,highly_skewed,65.0833,variable,constant:6.333;approx_normal:51.273;multimodal:56.0;moderately_skewed:57.556;heavy_tailed:67.0;highly_skewed:71.417
excelformer|0.05_0.15_0.8|encoding,40.1278,8.738,26.0,constant,53.5556,moderately_skewed,27.5556,variable,constant:26.0;multimodal:39.643;approx_normal:39.818;highly_skewed:40.417;heavy_tailed:41.333;moderately_skewed:53.556
excelformer|0.05_0.15_0.8|materialize,52.3049,8.8124,37.6667,constant,62.6667,moderately_skewed,25.0,variable,constant:37.667;highly_skewed:49.583;multimodal:50.357;approx_normal:54.0;heavy_tailed:59.556;moderately_skewed:62.667
excelformer|0.05_0.15_0.8|start,51.6472,7.9993,42.6667,constant,65.4444,moderately_skewed,22.7778,variable,constant:42.667;highly_skewed:44.833;approx_normal:51.455;heavy_tailed:52.556;multimodal:52.929;moderately_skewed:65.444
excelformer|0.8_0.15_0.05|columnwise,19.309,2.8107,15.7273,approx_normal,22.7778,moderately_skewed,7.0505,variable,approx_normal:15.727;constant:17.333;multimodal:17.571;heavy_tailed:20.778;highly_skewed:21.667;moderately_skewed:22.778
excelformer|0.8_0.15_0.05|decoding,26.5094,8.4075,14.4444,heavy_tailed,35.8571,multimodal,21.4127,variable,heavy_tailed:14.444;moderately_skewed:21.111;highly_skewed:23.583;approx_normal:28.727;constant:35.333;multimodal:35.857
excelformer|0.8_0.15_0.05|encoding,21.689,3.7994,17.1818,approx_normal,28.3333,constant,11.1515,variable,approx_normal:17.182;moderately_skewed:20.0;heavy_tailed:20.333;highly_skewed:21.0;multimodal:23.286;constant:28.333
excelformer|0.8_0.15_0.05|materialize,30.8879,7.8861,23.9286,multimodal,45.6667,constant,21.7381,variable,multimodal:23.929;heavy_tailed:25.778;highly_skewed:27.5;approx_normal:29.455;moderately_skewed:33.0;constant:45.667
excelformer|0.8_0.15_0.05|start,32.1031,7.9878,27.1111,moderately_skewed,48.0,constant,20.8889,variable,moderately_skewed:27.111;multimodal:27.214;heavy_tailed:29.111;approx_normal:29.182;highly_skewed:32.0;constant:48.0
fttransformer|0.05_0.15_0.8|columnwise,65.4895,6.9868,58.0,constant,76.1667,highly_skewed,18.1667,variable,constant:58.0;approx_normal:59.818;multimodal:61.286;moderately_skewed:67.889;heavy_tailed:69.778;highly_skewed:76.167
fttransformer|0.05_0.15_0.8|decoding,72.2477,14.9156,42.6667,constant,83.6429,multimodal,40.9762,variable,constant:42.667;heavy_tailed:73.0;moderately_skewed:76.222;approx_normal:78.455;highly_skewed:79.5;multimodal:83.643
