variant_id,model_parsed,gnn_stage,ratio_cat,card_bin,n,mean_rank,median_rank,std_rank,iqr_rank
excelformer::columnwise,excelformer,columnwise,few,2,291,10.230824742268041,10.67,2.8966783605280075,1.8200000000000003
excelformer::columnwise,excelformer,columnwise,few,3-10,18,11.567777777777778,11.1,3.20034475267083,2.4700000000000006
excelformer::columnwise,excelformer,columnwise,few,>10,9,11.567777777777778,11.1,3.298839863413264,2.4700000000000006
excelformer::decoding,excelformer,decoding,few,2,291,10.550481099656357,7.8,4.701550269874691,8.87
excelformer::decoding,excelformer,decoding,few,3-10,18,11.845555555555556,13.8,5.29556109588601,8.87
excelformer::decoding,excelformer,decoding,few,>10,9,11.845555555555556,13.8,5.4585394363124085,8.87
excelformer::encoding,excelformer,encoding,few,2,291,10.937182130584192,9.94,2.341441266537579,3.8499999999999996
excelformer::encoding,excelformer,encoding,few,3-10,18,12.18,12.71,2.9098291843943254,3.7300000000000004
excelformer::encoding,excelformer,encoding,few,>10,9,12.18,12.71,2.999383269940672,3.7300000000000004
excelformer::materialize,excelformer,materialize,few,2,291,10.293986254295532,7.56,4.474348565932876,6.92
excelformer::materialize,excelformer,materialize,few,3-10,18,11.443333333333333,11.0,4.808446000650987,7.029999999999999
excelformer::materialize,excelformer,materialize,few,>10,9,11.443333333333333,11.0,4.956432688940707,7.029999999999999
excelformer::start,excelformer,start,few,2,291,9.77061855670103,8.5,2.706703612081394,5.21
excelformer::start,excelformer,start,few,3-10,18,10.055555555555555,8.5,3.5582616744403226,5.21
excelformer::start,excelformer,start,few,>10,9,10.055555555555555,8.5,3.667772181826153,5.21
fttransformer::columnwise,fttransformer,columnwise,few,2,291,9.398762886597938,7.2,4.353634294209989,7.759999999999999
fttransformer::columnwise,fttransformer,columnwise,few,3-10,18,10.402222222222223,9.0,4.153393446831518,7.37
fttransformer::columnwise,fttransformer,columnwise,few,>10,9,10.402222222222223,9.0,4.28121997150864,7.37
fttransformer::decoding,fttransformer,decoding,few,2,291,10.423024054982818,6.5,5.850189309884626,11.21
