iter	Passed	Remaining
0	4	992
1	9	901
2	13	870
3	17	848
4	21	836
5	25	823
6	29	815
7	33	808
8	37	802
9	41	794
10	45	789
11	50	784
12	54	779
13	58	773
14	62	767
15	66	762
16	70	758
17	74	755
18	78	750
19	82	746
20	86	741
21	91	736
22	95	733
23	99	728
24	103	724
25	107	719
26	111	715
27	115	710
28	119	706
29	123	701
30	128	697
31	132	694
32	136	690
33	140	686
34	144	682
35	148	677
36	152	673
37	157	669
38	161	665
39	165	661
40	169	657
41	173	652
42	177	648
43	181	643
44	185	639
45	189	635
46	194	631
47	198	627
48	202	623
49	206	619
50	210	615
51	214	611
52	218	607
53	223	603
54	227	600
55	231	596
56	235	592
57	240	587
58	244	583
59	248	578
60	252	574
61	256	570
62	260	565
63	264	561
64	268	557
65	272	553
66	276	549
67	280	545
68	285	541
69	289	537
70	293	532
71	297	528
72	301	524
73	305	520
74	309	515
75	313	511
76	317	507
77	321	503
78	325	499
79	329	494
80	333	490
81	337	486
82	342	482
83	346	477
84	349	473
85	354	469
86	358	465
87	362	461
88	366	457
89	370	452
90	374	448
91	378	444
92	382	440
93	387	436
94	391	432
95	395	428
96	399	424
97	403	419
98	407	415
99	411	411
100	415	407
101	419	403
102	423	399
103	428	395
104	432	390
105	436	386
106	440	382
107	444	378
108	448	374
109	452	370
110	456	366
111	461	362
112	465	358
113	469	354
114	473	349
115	477	345
116	481	341
117	485	337
118	489	333
119	494	329
120	498	325
121	502	321
122	506	317
123	510	312
124	514	308
125	518	304
126	523	300
127	527	296
128	531	292
129	535	288
130	539	284
131	543	280
132	547	275
133	551	271
134	555	267
135	560	263
136	564	259
137	568	255
138	572	251
139	576	247
140	580	242
141	584	238
142	589	234
143	593	230
144	597	226
145	601	222
146	605	218
147	609	214
148	613	210
149	618	206
150	622	201
151	626	197
152	630	193
153	634	189
154	638	185
155	643	181
156	647	177
157	651	173
158	655	169
159	659	164
160	663	160
161	667	156
162	671	152
163	675	148
164	679	144
165	684	140
166	688	136
167	692	131
168	696	127
169	700	123
170	704	119
171	708	115
172	713	111
173	717	107
174	721	103
175	725	98
176	729	94
177	733	90
178	737	86
179	742	82
180	746	78
181	750	74
182	754	70
183	758	65
184	762	61
185	766	57
186	770	53
187	775	49
188	779	45
189	783	41
190	787	37
191	791	32
192	795	28
193	799	24
194	803	20
195	808	16
196	812	12
197	816	8
198	820	4
199	824	0
