dataset_name,dataset_size,task_type,best_val_metric,test_result
kaggle_Real_Estate_DataSet,small,binclass,0.9128787878787878,0.8337922895357986
openml_Indian_Liver_Patient_Patient_Records_KFolds_5folds,small,binclass,0.6710668103448276,0.5286796536796537
openml_Diabetes_Data_Set,small,binclass,0.7649597238204832,0.6843537414965987
kaggle_Penguins_Classified,small,binclass,1.0,0.988095238095238
kaggle_Collection_of_Classification___Regression_Datasets_House_Price_,small,binclass,0.8754838709677419,0.7152046783625732
kaggle_Credit_Card_Approval,small,binclass,0.8722610722610723,0.8189189189189189
UCI_Breast_Cancer_Coimbra,small,binclass,0.8035714285714286,0.7727272727272727
openml_student_grade_pass_or_fail_prediction,small,binclass,0.9438775510204083,0.7745454545454546
kaggle_Development_Index,small,binclass,0.8359133126934984,0.9170168067226891
UCI_Climate_Model_Simulation_Crashes,small,binclass,0.6745495495495496,0.594551282051282
kaggle_Breast_Cancer_Dataset,small,binclass,0.9916666666666666,0.9114864864864867
UCI_Quality_Assessment_of_Digital_Colposcopies,small,binclass,0.8076923076923077,0.3611111111111111
kaggle_Startup_Success_Prediction,small,binclass,0.6845376026964399,0.639928698752228
UCI_Early_stage_diabetes_risk_prediction_dataset,small,binclass,0.9827586206896552,0.9067307692307692
UCI_extention_of_Z_Alizadeh_sani_dataset,small,binclass,0.8550420168067226,0.6209150326797386
kaggle_Automobiles,small,binclass,0.9375,0.8492822966507176
kaggle_The_Estonia_Disaster_Passenger_List,small,binclass,0.5333333333333333,0.5568086883876358
openml_Intersectional_Bias_Assessment__Testing_Data_,small,binclass,0.9616666666666667,0.9403409090909092
UCI_Z_Alizadeh_Sani,small,binclass,0.7773109243697479,0.6908496732026145
openml_nki70.arff,small,binclass,0.8083333333333333,0.3631578947368421
openml_Pima_Indians_Diabetes,small,binclass,0.7384925201380897,0.5972789115646259
kaggle_Horse_Colic_Dataset__with_test_file_,small,binclass,0.6005291005291005,0.5545050055617353
openml_Swiss_banknote_conterfeit_detection,small,binclass,0.9666666666666667,0.949874686716792
openml_hungarian,small,binclass,0.8009259259259259,0.753030303030303
UCI_HCV_data,small,binclass,0.8886363636363637,0.8899749373433584
openml_analcatdata_lawsuit,small,binclass,1.0,0.743161094224924
UCI_Absenteeism_at_work,small,binclass,0.6424242424242425,0.5944592790387183
kaggle_Bigg_Boss_India,small,binclass,1.0,0.9862385321100917
