dataset_name,dataset_size,task_type,best_val_metric,test_result
kaggle_Real_Estate_DataSet,small,binclass,0.9092970490455627,0.8657524585723877
openml_Indian_Liver_Patient_Patient_Records_KFolds_5folds,small,binclass,0.5907944440841675,0.5402532815933228
openml_Diabetes_Data_Set,small,binclass,0.746666669845581,0.714842677116394
kaggle_Penguins_Classified,small,binclass,0.9769737124443054,0.8776953816413879
kaggle_Collection_of_Classification___Regression_Datasets_House_Price_,small,binclass,0.9292856454849243,0.856842041015625
kaggle_Credit_Card_Approval,small,binclass,0.8765235543251038,0.8729292154312134
UCI_Breast_Cancer_Coimbra,small,binclass,0.6000000238418579,0.5961538553237915
openml_student_grade_pass_or_fail_prediction,small,binclass,0.9491279125213623,0.9239917993545532
kaggle_Development_Index,small,binclass,0.8148148655891418,0.7902134656906128
UCI_Climate_Model_Simulation_Crashes,small,binclass,0.8086419701576233,0.7114986181259155
kaggle_Breast_Cancer_Dataset,small,binclass,0.9895697832107544,0.9896239638328552
UCI_Quality_Assessment_of_Digital_Colposcopies,small,binclass,0.38461536169052124,0.6186813116073608
kaggle_Startup_Success_Prediction,small,binclass,0.7764994502067566,0.6991214752197266
UCI_Early_stage_diabetes_risk_prediction_dataset,small,binclass,0.8675016164779663,0.8889546394348145
UCI_extention_of_Z_Alizadeh_sani_dataset,small,binclass,0.8964646458625793,0.8731009364128113
kaggle_Automobiles,small,binclass,0.9728506803512573,0.9508032202720642
kaggle_The_Estonia_Disaster_Passenger_List,small,binclass,0.7914530038833618,0.6990498304367065
openml_Intersectional_Bias_Assessment__Testing_Data_,small,binclass,0.9700218439102173,0.9789943695068359
UCI_Z_Alizadeh_Sani,small,binclass,0.805555522441864,0.8028945922851562
openml_nki70.arff,small,binclass,0.7555555701255798,0.6545209288597107
openml_Pima_Indians_Diabetes,small,binclass,0.7683333158493042,0.7384201288223267
kaggle_Horse_Colic_Dataset__with_test_file_,small,binclass,0.6111111044883728,0.6261715888977051
openml_Swiss_banknote_conterfeit_detection,small,binclass,0.9999999403953552,0.9935847520828247
openml_hungarian,small,binclass,0.7809523940086365,0.8135749697685242
UCI_HCV_data,small,binclass,0.984420657157898,0.9242424368858337
openml_analcatdata_lawsuit,small,binclass,1.0,0.8798646330833435
UCI_Absenteeism_at_work,small,binclass,0.6527884006500244,0.5794786810874939
kaggle_Bigg_Boss_India,small,binclass,1.0,0.9769450426101685
UCI_Cervical_cancer__Risk_Factors_,small,binclass,0.5327868461608887,0.5448418855667114
UCI_Audit_Data,small,binclass,0.9918622970581055,0.9922481775283813
UCI_User_Knowledge_Modeling,small,binclass,0.7843137383460999,0.7156769037246704
openml_analcatdata_creditscore,small,binclass,0.9090909361839294,0.6418495178222656
kaggle_Audit_Data,small,binclass,0.9962440729141235,0.9894440770149231
openml_The_Estonia_Disaster_Passenger_List,small,binclass,0.773931622505188,0.6625568270683289
kaggle_chronic_kidney_disease,small,binclass,0.9814814925193787,0.9958054423332214
kaggle_Analytics_Vidhya_Loan_Prediction,small,binclass,0.5992646813392639,0.5997120141983032
UCI_Heart_failure_clinical_records,small,binclass,0.5533498525619507,0.5552018284797668
openml_tokyo1,small,binclass,0.9806202054023743,0.9594743251800537
kaggle_Compositions_of_Glass,small,binclass,0.6536796689033508,0.58343106508255
kaggle_Store_Data_Performance,small,binclass,0.7058823108673096,0.5542265176773071
UCI_QSAR_Bioconcentration_classes_dataset,small,binclass,0.5297563672065735,0.5173310041427612
openml_Pokmon_Legendary_Data,small,binclass,0.9396117925643921,0.7949116230010986
kaggle_Pima_Indians_Diabetes_with_null_values,small,binclass,0.6230000257492065,0.5808734893798828
kaggle_Customer_Classification,small,binclass,0.5994689464569092,0.5438445806503296
UCI_Parkinson_Dataset_with_replicated_acoustic_features,small,binclass,0.7839506268501282,0.8118822574615479
openml_DiabeticMellitus,small,binclass,0.9442970752716064,0.7646551132202148
openml_Heart_disease_classification,small,binclass,0.8705357313156128,0.8489218354225159
kaggle_Campus_Recruitment,small,binclass,0.75,0.5999999642372131
kaggle_fitbit_dataset,small,binclass,0.7943723201751709,0.7471545934677124
openml_fishcatch,small,regression,0.4097853845826857,0.506128570922781
openml_wisconsin,small,regression,0.9560744816384104,1.126059404222292
openml_yacht_hydrodynamics,small,regression,0.13903606302800928,0.1556812365450021
openml_cpu,small,regression,0.3879389153699467,0.9600394479772776
openml_pharynx,small,regression,0.7195311323698033,1.0375528482972054
openml_disclosure_x_noise,small,regression,1.0477476895087727,1.1353328160579517
openml_visualizing_environmental,small,regression,0.6683598761944032,1.31188232783306
openml_rmftsa_ladata,small,regression,0.7080943929416036,0.9063128745531592
openml_cleveland,small,regression,0.9278315443048303,1.0215405071291537
openml_residential_building,small,regression,0.862791172580544,0.6707850642243569
openml_lungcancer_shedden,small,regression,1.1237488252932781,1.0580681766544984
openml_forest_fires,small,regression,1.7582566441931522,1.4130004350779
openml_cloud,small,regression,0.32322393175648306,0.6553821729332622
openml_boston_corrected,small,regression,0.4681693454360012,0.5790188297658937
openml_liver_disorders,small,regression,0.7632005022144265,1.2483789900531375
openml_disclosure_z,small,regression,1.0716621076290123,1.0473863292372279
openml_The_Office_Dataset,small,regression,0.8721853011680012,0.7470677194986658
openml_disclosure_x_tampered,small,regression,0.9054872328259977,1.282126475812805
openml_weather_ankara,small,regression,0.22345252453367434,0.23580237302208923
