dataset_name,dataset_size,task_type,best_val_metric,test_result
kaggle_Real_Estate_DataSet,small,binclass,0.8027450980392157,0.7716956426856769
openml_Indian_Liver_Patient_Patient_Records_KFolds_5folds,small,binclass,0.6749320652173914,0.5645175813785962
openml_Diabetes_Data_Set,small,binclass,0.696031746031746,0.6532983597217936
kaggle_Penguins_Classified,small,binclass,1.0,0.9713114754098361
kaggle_Collection_of_Classification___Regression_Datasets_House_Price_,small,binclass,0.8379120879120879,0.711808300395257
kaggle_Credit_Card_Approval,small,binclass,0.6857142857142857,0.6829495491467322
UCI_Breast_Cancer_Coimbra,small,binclass,0.5,0.4787234042553192
openml_student_grade_pass_or_fail_prediction,small,binclass,0.8724358974358973,0.8253989968080256
kaggle_Development_Index,small,binclass,0.6942307692307691,0.6107602930032836
UCI_Climate_Model_Simulation_Crashes,small,binclass,0.9259259259259259,0.5
kaggle_Breast_Cancer_Dataset,small,binclass,0.88,0.8855378198443892
UCI_Quality_Assessment_of_Digital_Colposcopies,small,binclass,0.606060606060606,0.47794117647058826
kaggle_Startup_Success_Prediction,small,binclass,0.6421957671957672,0.6291823224190374
UCI_Early_stage_diabetes_risk_prediction_dataset,small,binclass,0.7807137954701442,0.8043134346805092
UCI_extention_of_Z_Alizadeh_sani_dataset,small,binclass,0.7680288461538461,0.6051974012993504
kaggle_Automobiles,small,binclass,0.9019138755980862,0.832587218277246
kaggle_The_Estonia_Disaster_Passenger_List,small,binclass,0.5,0.5178737460239785
openml_Intersectional_Bias_Assessment__Testing_Data_,small,binclass,0.9296889551126839,0.898524838734548
UCI_Z_Alizadeh_Sani,small,binclass,0.5829326923076923,0.5306096951524237
openml_nki70.arff,small,binclass,0.5694444444444445,0.4504048582995951
openml_Pima_Indians_Diabetes,small,binclass,0.6777777777777778,0.6167837728772521
kaggle_Horse_Colic_Dataset__with_test_file_,small,binclass,0.6680672268907563,0.6354166666666666
openml_Swiss_banknote_conterfeit_detection,small,binclass,1.0,0.9625
openml_hungarian,small,binclass,0.8147368421052631,0.7454070319923978
UCI_HCV_data,small,binclass,0.675645342312009,0.798235294117647
openml_analcatdata_lawsuit,small,binclass,0.9230769230769231,0.5
UCI_Absenteeism_at_work,small,binclass,0.5055938037865748,0.5086955313858678
kaggle_Bigg_Boss_India,small,binclass,0.9176470588235294,0.5
UCI_Cervical_cancer__Risk_Factors_,small,binclass,0.5416666666666666,0.48978399366683
UCI_Audit_Data,small,binclass,0.9871794871794871,0.9134491634491635
UCI_User_Knowledge_Modeling,small,binclass,0.5803571428571429,0.6348822864192454
openml_analcatdata_creditscore,small,binclass,0.8125,0.7619047619047619
kaggle_Audit_Data,small,binclass,0.9807692307692308,0.9082153582153583
openml_The_Estonia_Disaster_Passenger_List,small,binclass,0.5147058823529411,0.5089307560557866
kaggle_chronic_kidney_disease,small,binclass,1.0,0.9458461538461539
kaggle_Analytics_Vidhya_Loan_Prediction,small,binclass,0.6135902636916836,0.6045844424726412
UCI_Heart_failure_clinical_records,small,binclass,0.5829326923076923,0.546190738265587
openml_tokyo1,small,binclass,0.8272183449651047,0.8150406504065041
kaggle_Compositions_of_Glass,small,binclass,0.5357142857142857,0.4901787032934574
